x [m],y [m],u [m/s],v [m/s]
0.066423,0.052974,0.00009601,0.00171058
0.094968,0.114456,0.00644954,0.00038916
0.086185,0.081519,0.00006577,0.00205122
0.022507,0.048582,0.00009846,0.00128613
0.026898,0.057365,0.00013428,0.00134179
0.018115,0.085910,0.00005946,0.00016540
0.059835,0.055169,0.00007787,0.00217816
0.079598,0.099085,0.00252945,0.00311613
0.004941,0.079323,0.00006234,0.00007573
0.079598,0.116652,0.00299417,0.00025180
0.064227,0.052974,0.00010862,0.00178761
0.114730,0.107868,0.00590006,0.00025497
0.090577,0.085910,0.00007413,0.00163889
0.022507,0.099085,0.00002828,0.00011725
0.013724,0.066148,0.00003973,0.00025248
0.018115,0.074931,0.00009723,0.00030217
0.154255,0.107868,0.00520453,0.00088965
0.090577,0.103477,0.00390748,0.00189647
0.022507,0.116652,0.00003567,0.00006455
0.013724,0.083715,0.00001689,0.00011544
0.053248,0.037603,0.00009199,0.00149389
0.053248,0.099085,0.00110932,0.00097105
0.018115,0.092498,0.00006434,0.00013025
0.086185,0.035407,0.00034469,0.00093408
0.048856,0.074931,0.00084678,0.00170635
0.009332,0.033211,0.00004254,0.00042555
0.097164,0.118847,0.00370980,-0.00001534
0.033486,0.085910,0.00055793,0.00079333
0.086185,0.052974,0.00027895,0.00117166
0.090577,0.006862,0.00003913,0.00071349
0.114730,0.114456,0.00744901,0.00018446
0.138884,0.121043,0.00288628,-0.00015980
0.009332,0.050778,0.00008464,0.00030436
0.042269,0.048582,0.00030101,0.00149586
0.040073,0.033211,0.00022557,0.00146476
0.033486,0.103477,0.00012638,0.00013203
0.037877,0.112260,0.00007585,0.00010035
0.156450,0.116652,0.00268467,0.00186468
0.090577,0.092498,0.00030508,0.00162859
0.015920,0.046386,0.00006838,0.00069370
0.053248,0.088106,0.00117285,0.00158417
0.035682,0.110064,0.00007099,0.00011780
0.154255,0.114456,0.00488341,0.00136052
0.040073,0.118847,0.00003015,0.00007444
0.079598,0.017841,0.00027246,0.00187336
0.033486,0.006862,-0.00014285,0.00186362
0.015920,0.063953,0.00006739,0.00036600
0.037877,0.015645,-0.00001111,0.00159898
0.044465,0.072736,0.00082648,0.00166953
0.020311,0.072736,0.00018916,0.00053742
0.048856,0.081519,0.00116268,0.00167016
0.053248,0.105673,0.00099935,0.00048563
0.062031,0.068344,0.00036157,0.00175391
0.066423,0.004666,0.00031159,0.00202738
0.002745,0.085910,0.00006741,0.00008899
0.083989,0.088106,0.00029437,0.00196747
0.042269,0.099085,0.00073016,0.00053419
0.015920,0.096889,0.00001702,0.00015103
0.068619,0.028820,0.00020969,0.00216491
0.042269,0.116652,0.00006868,0.00008178
0.022507,0.017841,-0.00001392,0.00124546
0.026898,0.026624,-0.00004705,0.00142083
0.024703,0.059561,0.00017335,0.00098220
0.147667,0.110064,0.00699603,0.00050577
0.029094,0.068344,0.00049696,0.00119422
0.015920,0.114456,0.00001457,0.00008255
0.064227,0.110064,0.00183549,0.00061088
0.083989,0.077127,0.00007615,0.00170556
0.011528,0.090302,0.00002866,0.00012928
0.011528,0.011253,-0.00006379,0.00061738
0.057640,0.022232,0.00022733,0.00107518
0.116926,0.107868,0.00627263,0.00027985
0.070814,0.020037,-0.00085655,0.00091741
0.081793,0.101281,0.00323392,0.00319270
0.083989,0.094694,0.00086038,0.00225332
0.088381,0.048582,0.00001921,0.00049461
0.163038,0.103477,0.00046516,0.00047983
0.002745,0.092498,0.00003496,0.00002981
0.048856,0.035407,0.00064794,0.00145833
0.068619,0.079323,0.00055067,0.00208657
0.042269,0.105673,0.00034816,0.00029963
0.055444,0.110064,0.00088172,0.00031028
0.059835,0.118847,0.00027629,0.00009210
0.048856,0.052974,0.00036542,0.00154569
0.086185,0.004666,0.00028753,0.00125183
0.075206,0.112260,0.00339233,0.00076248
0.088381,0.099085,0.00183731,0.00315284
0.079598,0.066148,-0.00002893,0.00186631
0.011528,0.044190,-0.00001211,0.00061836
0.116926,0.114456,0.00704181,0.00003563
0.042269,0.017841,0.00007572,0.00157068
0.075206,0.015645,-0.00029715,0.00188816
0.011528,0.061757,-0.00002154,0.00019206
0.022507,0.066148,0.00028464,0.00079270
0.026898,0.074931,0.00042149,0.00085223
0.136688,0.107868,0.00828621,0.00011397
0.031290,0.028820,0.00022865,0.00144795
0.007136,0.028820,0.00004615,0.00041405
0.022507,0.083715,0.00008121,0.00031273
0.026898,0.092498,0.00011134,0.00023550
0.088381,0.105673,0.00497235,0.00209945
0.004941,0.096889,0.00003813,0.00001235
0.079598,0.072736,0.00021273,0.00186021
0.141080,0.105673,0.00774085,-0.00004593
0.105947,0.118847,0.00448405,-0.00001176
0.123513,0.114456,0.00737700,0.00047099
0.046661,0.039799,0.00036705,0.00105618
0.051052,0.048582,0.00006721,0.00144555
0.125709,0.103477,0.00393418,-0.00024737
0.121318,0.112260,0.00809854,0.00019785
0.031290,0.079323,0.00044209,0.00096406
0.007136,0.079323,0.00004223,0.00012600
0.090577,0.121043,0.00221392,0.00043167
0.022507,0.072736,0.00027591,0.00070206
0.013724,0.101281,0.00000864,0.00014820
0.018115,0.110064,0.00002656,0.00008512
0.136688,0.114456,0.00720941,0.00060860
0.088381,0.017841,-0.00006921,0.00062862
0.048856,0.004666,0.00022393,0.00171550
0.053248,0.072736,0.00049301,0.00147407
0.090577,0.024428,0.00000273,0.00104516
0.004941,0.103477,0.00004202,0.00012771
0.046661,0.028820,0.00006380,0.00152711
0.051052,0.099085,0.00115036,0.00094883
0.042269,0.066148,0.00028454,0.00175294
0.130101,0.107868,0.00721634,0.00000513
0.033486,0.121043,0.00006456,0.00003043
0.090577,0.110064,0.00681354,0.00165208
0.004941,0.006862,0.00017086,-0.00003814
0.077402,0.028820,0.00006468,0.00141500
0.108143,0.105673,0.00350228,-0.00028088
0.057640,0.059561,0.00024903,0.00171283
0.033486,0.024428,0.00005655,0.00213424
0.011528,0.013449,0.00000970,0.00045791
0.015920,0.081519,0.00003464,0.00016883
0.037877,0.033211,0.00027284,0.00168770
0.044465,0.011253,-0.00041152,0.00236529
0.020311,0.090302,0.00007389,0.00017487
0.020311,0.011253,0.00002210,0.00077091
0.044465,0.090302,0.00056396,0.00093848
0.013724,0.055169,0.00004054,0.00038736
0.062031,0.085910,0.00097936,0.00188120
0.066423,0.022232,0.00010173,0.00151213
0.070814,0.048582,0.00001806,0.00164952
0.145471,0.103477,0.00536639,-0.00002749
0.169625,0.110064,0.00080373,0.00041120
0.026898,0.052974,0.00016481,0.00105084
0.077402,0.079323,0.00046084,0.00205456
0.051052,0.105673,0.00095109,0.00044727
0.042269,0.072736,0.00083923,0.00163126
0.068619,0.046386,0.00003331,0.00181107
0.024703,0.077127,0.00033640,0.00063054
0.029094,0.085910,0.00026228,0.00055510
0.009332,0.039799,0.00007154,0.00029458
0.029094,0.103477,0.00005789,0.00008218
0.073010,0.011253,0.00039419,0.00201490
0.070814,0.037603,0.00013201,0.00146561
0.070814,0.099085,0.00160006,0.00157995
0.081793,0.118847,0.00208061,0.00009057
0.083989,0.112260,0.00488152,0.00124871
0.088381,0.066148,-0.00002208,0.00121071
0.062031,0.092498,0.00091867,0.00135076
0.013724,0.061757,-0.00000664,0.00032594
0.015920,0.035407,0.00004485,0.00043298
0.002745,0.110064,0.00006788,0.00003286
0.044465,0.044190,0.00015795,0.00178816
0.020311,0.044190,0.00010771,0.00083305
0.163038,0.121043,0.00107508,0.00320388
0.068619,0.096889,0.00112703,0.00168689
0.029094,0.006862,-0.00013852,0.00207883
0.083989,0.015645,-0.00023721,0.00058116
0.086185,0.022232,0.00026187,0.00059260
0.035682,0.002470,0.00006158,0.00152893
0.009332,0.028820,-0.00003564,0.00069007
0.057640,0.116652,0.00042556,0.00015497
0.024703,0.083715,0.00014470,0.00039741
0.092772,0.107868,0.00646383,0.00113538
0.029094,0.092498,0.00020159,0.00029876
0.110339,0.116652,0.00652743,0.00013796
0.040073,0.028820,0.00010106,0.00192033
0.092772,0.063953,0.00016572,0.00075853
0.070814,0.105673,0.00209044,0.00140100
0.073010,0.044190,-0.00010652,0.00121225
0.088381,0.072736,0.00002843,0.00167877
0.015920,0.041995,0.00009912,0.00076371
0.044465,0.050778,0.00015665,0.00155199
0.020311,0.050778,0.00009612,0.00084719
0.075206,0.033211,0.00003821,0.00132008
0.068619,0.103477,0.00206914,0.00153859
0.110339,0.105673,0.00344909,-0.00038262
0.103751,0.112260,0.00815071,0.00012496
0.035682,0.070540,0.00075958,0.00159801
0.068619,0.006862,0.00011192,0.00156830
0.040073,0.079323,0.00094105,0.00154204
0.031290,0.046386,0.00036974,0.00130865
0.007136,0.046386,-0.00011234,0.00044839
0.022507,0.101281,0.00002564,0.00010297
0.101556,0.110064,0.00793478,0.00015446
0.026898,0.110064,0.00004319,0.00010376
0.073010,0.033211,0.00016132,0.00141894
0.079598,0.090302,0.00082150,0.00228075
0.073010,0.050778,-0.00001254,0.00122561
0.055444,0.002470,-0.00008842,0.00208738
0.057640,0.017841,0.00011658,0.00090188
0.079598,0.055169,0.00029635,0.00190306
0.051052,0.066148,0.00037397,0.00163484
0.125709,0.121043,0.00352855,-0.00003718
0.035682,0.059561,0.00030272,0.00116729
0.031290,0.096889,0.00020329,0.00023012
0.099360,0.110064,0.00797589,0.00041498
0.007136,0.096889,0.00004175,0.00002404
0.022507,0.090302,0.00007250,0.00019651
0.013724,0.118847,0.00000018,0.00007356
0.141080,0.112260,0.00730446,0.00036033
0.066423,0.059561,0.00023542,0.00149759
0.013724,0.031016,-0.00006762,0.00043077
0.044465,0.013449,-0.00020423,0.00208679
0.020311,0.013449,0.00000248,0.00092598
0.048856,0.022232,0.00004728,0.00219234
0.053248,0.090302,0.00112815,0.00146091
0.053248,0.011253,0.00011126,0.00192038
0.004941,0.121043,0.00005631,-0.00000517
0.022507,0.055169,0.00018360,0.00074956
0.046661,0.046386,0.00023455,0.00137553
0.046661,0.107868,0.00045633,0.00033128
0.079598,0.044190,0.00006458,0.00124780
0.059835,0.079323,0.00101330,0.00200123
0.004941,0.024428,0.00002498,0.00024674
0.046661,0.063953,0.00045796,0.00140618
0.077402,0.046386,0.00001528,0.00134850
0.051052,0.072736,0.00058026,0.00158123
0.064227,0.059561,0.00018333,0.00191836
0.079598,0.061757,0.00009610,0.00173438
0.011528,0.039799,0.00014001,0.00042340
0.066423,0.048582,0.00005975,0.00169745
0.057640,0.077127,0.00096082,0.00193234
0.031290,0.103477,0.00010176,0.00011004
0.007136,0.103477,0.00004763,0.00011317
0.004941,0.041995,0.00003871,0.00015187
0.031290,0.006862,-0.00013829,0.00207405
0.145471,0.121043,0.00164101,0.00018925
0.007136,0.006862,0.00020718,0.00040427
0.022507,0.061757,0.00019218,0.00062633
0.055444,0.059561,0.00020722,0.00179610
0.053248,0.044190,0.00013799,0.00146501
0.059835,0.068344,0.00043541,0.00158819
0.046661,0.114456,0.00016467,0.00010075
0.077402,0.096889,0.00172045,0.00262785
0.143276,0.118847,0.00309441,0.00017390
0.042269,0.090302,0.00068842,0.00094789
0.160842,0.112260,0.00094235,0.00189748
0.018115,0.002470,0.00001384,0.00164791
0.066423,0.116652,0.00097255,0.00018374
0.042269,0.055169,0.00009149,0.00177708
0.057640,0.083715,0.00120846,0.00170197
0.092772,0.074931,0.00014200,0.00124938
0.062031,0.110064,0.00154551,0.00055436
0.070814,0.072736,0.00033573,0.00201548
0.029094,0.024428,-0.00004195,0.00166236
0.053248,0.050778,-0.00008735,0.00175408
